user_id,recommended_product_id,score,reason
user90,product40,0.8,Recommended based on activity
user59,product40,0.72,Recommended based on activity
user62,product28,0.95,Recommended based on activity
user59,product11,0.83,Recommended based on activity
user87,product37,0.94,Recommended based on activity
user89,product36,0.94,Recommended based on activity
user6,product29,0.98,Recommended based on activity
user74,product38,0.7,Recommended based on activity
user17,product36,0.75,Recommended based on activity
user61,product38,0.9,Recommended based on activity
user19,product14,0.71,Recommended based on activity
user87,product44,0.72,Recommended based on activity
user35,product4,0.84,Recommended based on activity
user19,product32,0.85,Recommended based on activity
user13,product21,0.8,Recommended based on activity
user27,product12,0.76,Recommended based on activity
user10,product22,0.87,Recommended based on activity
user58,product7,0.72,Recommended based on activity
user94,product20,0.82,Recommended based on activity
user26,product4,0.81,Recommended based on activity
user8,product23,0.89,Recommended based on activity
user25,product11,0.88,Recommended based on activity
user78,product12,0.8,Recommended based on activity
user92,product27,0.94,Recommended based on activity
user89,product10,0.76,Recommended based on activity
user6,product3,0.97,Recommended based on activity
user58,product23,0.99,Recommended based on activity
user41,product3,0.86,Recommended based on activity
user79,product11,0.76,Recommended based on activity
user70,product39,0.97,Recommended based on activity
user63,product28,0.95,Recommended based on activity
user7,product10,0.91,Recommended based on activity
user17,product22,0.83,Recommended based on activity
user65,product35,0.71,Recommended based on activity
user98,product38,0.88,Recommended based on activity
user12,product29,0.9,Recommended based on activity
user5,product34,0.89,Recommended based on activity
user46,product21,0.91,Recommended based on activity
user15,product22,0.75,Recommended based on activity
user29,product31,0.99,Recommended based on activity
user34,product35,0.85,Recommended based on activity
user36,product30,0.76,Recommended based on activity
user15,product39,0.8,Recommended based on activity
user99,product40,0.74,Recommended based on activity
user38,product12,0.76,Recommended based on activity
user50,product40,0.97,Recommended based on activity
user34,product32,0.9,Recommended based on activity
user85,product11,0.81,Recommended based on activity
user1,product11,0.82,Recommended based on activity
user97,product10,0.77,Recommended based on activity
user15,product20,0.76,Recommended based on activity
user3,product45,0.77,Recommended based on activity
user26,product19,0.7,Recommended based on activity
user47,product14,0.84,Recommended based on activity
user99,product25,0.74,Recommended based on activity
user34,product1,0.75,Recommended based on activity
user45,product8,0.85,Recommended based on activity
user99,product49,0.82,Recommended based on activity
user51,product45,0.92,Recommended based on activity
user46,product45,0.86,Recommended based on activity
user13,product24,0.8,Recommended based on activity
user39,product16,0.93,Recommended based on activity
user13,product10,0.77,Recommended based on activity
user61,product36,0.99,Recommended based on activity
user4,product12,0.92,Recommended based on activity
user71,product31,0.88,Recommended based on activity
user87,product28,0.93,Recommended based on activity
user6,product50,0.79,Recommended based on activity
user23,product24,0.87,Recommended based on activity
user54,product48,0.99,Recommended based on activity
user83,product7,0.7,Recommended based on activity
user80,product39,0.89,Recommended based on activity
user62,product3,0.86,Recommended based on activity
user15,product47,0.78,Recommended based on activity
user31,product10,0.75,Recommended based on activity
user33,product34,0.9,Recommended based on activity
user69,product19,0.89,Recommended based on activity
user12,product13,0.84,Recommended based on activity
user39,product29,0.77,Recommended based on activity
user25,product12,0.93,Recommended based on activity
user12,product21,0.81,Recommended based on activity
user38,product41,0.86,Recommended based on activity
user78,product8,0.86,Recommended based on activity
user11,product32,0.93,Recommended based on activity
user40,product38,0.81,Recommended based on activity
user99,product13,0.99,Recommended based on activity
user70,product22,0.84,Recommended based on activity
user92,product9,0.9,Recommended based on activity
user45,product29,0.93,Recommended based on activity
user94,product6,0.86,Recommended based on activity
user98,product10,0.78,Recommended based on activity
user71,product41,0.91,Recommended based on activity
user86,product34,0.74,Recommended based on activity
user73,product39,0.73,Recommended based on activity
user25,product45,0.73,Recommended based on activity
user9,product39,0.75,Recommended based on activity
user10,product5,0.73,Recommended based on activity
user44,product29,1.0,Recommended based on activity
user19,product43,0.85,Recommended based on activity
user66,product50,0.9,Recommended based on activity
